MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
MA5500ifx;WDS3X13729;PAGADURIA;RAYAS EN IMPRESION;8/04/2025;OS 4265750;8/04/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13415;DGI;MANCHAS IMPRESION;8/09/2025;OS 4271014;8/12/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802496;HOSPITAL SIMULADO;RUIDO ;8/11/2025;OS 4271462;8/12/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3655idn;R4P8916180;FACULTAD CIENCIAS BASICAS;MANCHAS IMPRESION;8/11/2025;OS 4271466;8/12/2025;LIMPIEZA  Y REPUESTOS;PAMPALINDA;CAMACHO
M3655idn;R4P8916502;ASEGURAMIENTO CALIDAD;RAYAS EN IMPRESION;8/11/2025;OS 4271472;8/12/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655idn;R4P8916293;SALA PROFESORES;LIMPIEZA  ;8/11/2025;OS 4271474;8/12/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802391;CLINICA VETERINARIA RECEPCION;CONFIGURACION;21/08/2025;OS 4279750;21/08/2025;CONFIGURACION;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13721;COMPRAS Y SUMINISTROS;LIMPIEZA  ;25/08/2025;OS 4282736;26/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13701;ALMACEN MANTENIMIENTO;LIMPIEZA  ;25/08/2025;OS 4282750;26/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27771;CONTABILIDAD;LIMPIEZA  ;27/08/2025;OS 4284964;28/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13683;RECEPCION ODONTOLOGICA;LIMPIEZA  ;27/08/2025; OS 4284978;28/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53604;CAJA CLINICA ODONTOLOGICA;LIMPIEZA  ;27/08/2025; OS 4284984;28/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27900;TECNICOS LABORALES  ;RAYAS EN IMPRESION;27/08/2025;OS 4285470;28/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155DN;R4A2X53582;PROGRAMA DE MEDICINA;IMPRESION BORROSA ;27/08/2025;OS 4285648;28/08/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13725;SECRETARIA ACADEMICA DE SALUD;RAYAS EN IMPRESION;9/03/2025;OS 4292222;9/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53597;DIRECCION FACULTAD SALUD1;RUIDO ;9/03/2025;OS 4292228;9/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53603;DIRECCION FACULTAD SALUD2;LIMPIEZA  ;9/03/2025;OS 4292232;9/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28086;RESTAURANTE SANCARLO;INSTALACION POR RED ;9/08/2025;OS 4295686;9/09/2025;INSTAL. POR USB  RED CON PROB.;PAMPALINDA;CAMACHO
M3145idn;R4V8802504;ACTIVOS FIJOS;LIMPIEZA  ;9/10/2025;OS 4298786;9/11/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802498;SERVICIOS GENERALES;RUIDO ;9/10/2025;OS 4298788;9/11/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802450;CEIDE;MANCHAS EN IMP;9/10/2025;OS 4298790;9/11/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802492;TECNICOS LABORARES;RAYAS EN IMPRESION;9/12/2025;OS 4300048;9/12/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655IDN;R4P8916295;FACULTAD DE HUMANIDADES;RUIDO Y ATASCO;15/09/2025;OS 4301338;15/09/2025;LIMPIEZA ;PAMPALINDA;JESUS
M3145IDN;R4V8802355;DECANATURA DE COMUNICACION;RAYAS EN IMPRESION;15/09/2025;OS 4301344;15/09/2025;LIMPIEZA ;PAMPALINDA;JESUS
P3045dn;VM38Z27989;POSG. CIENCIAS ECONOMICAS;RUIDO ;17/09/2025;OS 4303572;18/09/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27976;RECEPCION BIBLIOTECA;RUIDO;17/09/2025;OS 4303576;18/09/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802390;BIBLIOTECA;RAYAS EN IMPRESION;17/09/2025;OS 4303586;18/09/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53608;RECREACION_DEPORTE;PUNTOS EN IMPRESION ;19/09/2025;OS 4306020;19/09/2025;LIMPIEZA ;PAMPALINDA;JESUS
P3045dn;VM38Z27900;TECNICOS LABORALES 2;RAYAS EN IMPRESION;19/09/2025;OS 4306024;19/09/2025;LIMPIEZA ;PAMPALINDA;JESUS
M3145idn;R4V8802391;CLINICA_VET_RECEPCION;CONFIGURACION;19/09/2025;OS 4306062;19/09/2025;LIMPIEZA ;PAMPALINDA;JESUS
P3155 DN;R4A2X53344;DIRECCIÓN DE EXTENSIÓN CENTRO;CONFIGURACION;22/09/2025;OS 4307422;23/09/2025;CONFIGURACION;PAMPALINDA;CAMACHO
M3145 IDN;R4V8802430;PROYECTOS SEDE CENTRO;LIMPIEZA  ;23/09/2025;OS 4307426;23/09/2025;LIMPIEZA ;USC CENTRO;CAMACHO
P3045dn;VM38Z27997;OFICINA SEC. GENERAL ;MANCHAS EN IMP;22/09/2025;OS 4307416;23/09/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145 IDN;R4V8802420;EDUCACIÓN CONTINUA;RAYAS EN IMPRESION;23/09/2025;OS 4308000;23/09/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
MA5500ifx;WDS3X13724;VICERRECTORIA ADMINISTRATIVA;RUIDO;10/02/2025;OS 4316950;10/02/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53356;SEC ACAD EDUCACION;MANCHAS EN IMP;10/02/2025;OS 4316952;10/02/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z28113;DIR. FAC. EDUCACION;LIMPIEZA  ;10/02/2025;OS 4316964;10/02/2025;FUSORA Y CAUCHOS;PAMPALINDA;CAMACHO
P3045dn;VM38Z28084;INSUMOS Y DISPENS. CLINICA VET.;CONFIGURACION;10/02/2025;OS 4316970;10/03/2025;CONFIGURACION;PAMPALINDA;CAMACHO
P3045dn;VM38Z28185;VICERRECTORIA ADMINISTRATIVA ;LIMPIEZA Y MANTENIM.;10/06/2025;OS 4321032;10/06/2025;SE PIDE REPUESTOS - FUSORA ;PAMPALINDA;CAMACHO
MA5500IFX; WDS3X13746;CONS. JURIDICO USC  CENTRO ;MANCHAS EN IMP;10/09/2025;OS 4323708;10/09/2025;TONER REVENTADO ;USC CENTRO;CAMACHO
M3655idn;R4P8916186;FACULTAD CIENCIAS ECONOMICAS;ATASCO X ALIMENTADOR;10/10/2025;OS 4325542 ;21/10/2025;REPUESTO TAPA DE ALIMENTADOR ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53336;DIRECCION CIENCIAS ECONOMICAS;RUIDO ;10/10/2025;OS 4325544;15/10/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045DN;VM38Z28177;BIENESTAR UNIVERSITARIO      PALMIRA ;RAYAS EN IMPRESION;15/10/2025;OS 4329102;16/10/2025;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
MA5500IFX;WDS3X13727;GESTION TECNOLOGICA;DP CON ERROR ;21/10/2025;OS 4334162;22/10/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802440;SERVICIOS FINANCIEROS;MANCHAS IMPRESION;21/10/2025;OS 4334164;22/10/2025;CAMBIO DE FUSORA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802390;BIBLIOTECA;RAYAS EN IMPRESION;23/10/2025;OS 4335826;28/10/2025;CAMBIO DE FUSORA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;MANCHAS EN IMP;23/10/2025;OS 4335830;28/10/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13727;GESTION TECNOLOGICA;CONFIGURACION;28/10/2025;OS 4339534;28/10/2025;CONFIGURACION;PAMPALINDA;CAMACHO
M3655idn;R4P8916483;CONTABILIDAD;RAYAS EN IMPRESION;29/10/2025;OS 4340450;31/10/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27768;CONTABILIDAD2;RAYAS EN IMPRESION;29/10/2025;OS 4340512;31/10/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
